Serial No.,Order ID,Customer ID,Order Cost,Rating,Prep Time (minutes),Delivery Time (minutes)
1,1477000,895440,10.11,2,20,26
2,1477001,413958,17.78,3,29,27
3,1477002,804772,6.87,3,31,28
4,1477003,943488,28.49,2,20,30
5,1477004,451001,30.66,5,27,27
6,1477005,52450,11.56,2,24,22
7,1477006,281493,29.51,2,25,21
8,1477007,546110,24.03,5,34,29
9,1477008,519532,33.1,4,23,21
10,1477009,434604,23.07,5,35,33
11,1477010,972838,7.22,5,31,16
12,1477011,831872,8.73,3,28,27
13,1477012,880163,10.66,5,24,16
14,1477013,328046,29.9,2,20,22
15,1477014,509748,8.59,4,26,17
16,1477015,385441,7.75,3,31,20
17,1477016,621720,30.02,4,30,26
18,1477017,944973,8.48,3,35,16
19,1477018,962225,23.17,5,29,20
20,1477019,239053,10.84,3,29,22
21,1477020,539202,34.12,4,30,24
22,1477021,156039,26.54,2,25,17
23,1477022,305528,19.38,2,22,31
24,1477023,156534,26.81,2,23,24
25,1477024,802518,6.83,5,29,26
26,1477025,109437,25.38,3,25,28
27,1477026,658406,21.33,2,32,29
28,1477027,848234,23.62,5,24,16
29,1477028,272674,30.08,5,24,31
30,1477029,963938,7.1,4,27,32
31,1477030,568433,7.16,3,30,28
32,1477031,749426,14.03,2,27,33
33,1477032,859574,18.08,3,27,29
34,1477033,641140,6.83,3,25,30
35,1477034,955989,19.01,2,29,23
36,1477035,164100,22.89,3,31,30
37,1477036,335213,25.98,5,33,21
38,1477037,113560,16.74,5,21,25
39,1477038,775284,12.8,4,24,23
40,1477039,87324,32.13,3,20,16
41,1477040,952500,19.11,2,32,16
42,1477041,901786,32.07,5,22,16
43,1477042,727209,22.09,3,22,20
44,1477043,356236,25.93,5,24,26
45,1477044,505077,11.1,5,33,15
46,1477045,597007,28.02,5,29,24
47,1477046,115592,28.66,4,33,15
48,1477047,380977,9.75,5,24,19
49,1477048,465262,9.86,5,33,17
50,1477049,341556,20.88,3,29,28
51,1477050,650561,8.52,3,31,22
52,1477051,681532,32.64,2,22,27
53,1477052,967361,24.97,4,27,32
54,1477053,224410,5.4,4,34,22
55,1477054,589363,25.44,4,31,29
56,1477055,510181,32.0,2,21,21
57,1477056,474197,31.24,3,32,25
58,1477057,917343,32.53,4,33,18
59,1477058,556678,24.47,3,20,17
60,1477059,283145,16.66,5,33,25
61,1477060,75304,24.73,4,30,25
62,1477061,854132,9.6,5,34,32
63,1477062,973080,25.72,2,26,29
64,1477063,585352,18.74,2,31,25
65,1477064,970489,7.37,2,29,23
66,1477065,24723,27.17,2,35,15
67,1477066,107802,21.33,3,22,31
68,1477067,764665,9.05,3,25,16
69,1477068,890899,27.86,2,23,21
70,1477069,428196,19.45,4,28,26
71,1477070,754754,23.3,2,23,17
72,1477071,874912,25.2,5,24,21
73,1477072,833182,22.71,4,34,31
74,1477073,710609,31.76,3,32,26
75,1477074,665638,30.61,3,25,21
76,1477075,11198,8.97,5,33,21
77,1477076,651620,14.31,4,33,23
78,1477077,527553,27.45,5,25,24
79,1477078,878287,29.87,2,27,24
80,1477079,919747,7.42,2,34,31
81,1477080,359317,22.84,2,30,27
82,1477081,265759,25.96,5,24,23
83,1477082,775752,9.8,3,31,30
84,1477083,351001,11.69,4,34,26
85,1477084,747822,18.44,5,22,22
86,1477085,922755,26.31,5,35,16
87,1477086,76043,25.21,5,26,24
88,1477087,210348,31.24,3,29,32
89,1477088,971564,5.95,2,20,17
90,1477089,605078,31.15,2,34,15
91,1477090,242473,22.02,3,34,29
92,1477091,260206,28.17,4,20,30
93,1477092,852368,26.27,4,26,29
94,1477093,159416,9.97,4,29,16
95,1477094,852194,6.92,2,23,28
96,1477095,579366,26.05,5,29,30
97,1477096,479730,18.39,4,24,29
98,1477097,105646,31.55,4,33,29
99,1477098,94353,32.24,5,35,18
100,1477099,345601,23.12,5,22,17
101,1477100,927595,5.0,5,35,17
102,1477101,542614,6.17,2,27,22
103,1477102,988147,14.78,3,32,18
104,1477103,523054,30.13,3,28,19
105,1477104,124355,6.5,3,20,28
106,1477105,326089,29.68,4,23,21
107,1477106,588045,34.23,4,28,29
